anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,0,0,15,2025-03-06,15
0,0,0,25,2025-03-07,25
0,0,0,26,2025-03-08,26
0,0,0,20,2025-03-09,20
0,0,0,23,2025-03-10,23
0,0,0,26,2025-03-11,26
0,0,0,32,2025-03-12,32
1,0,0,37,2025-03-13,36
0,0,0,31,2025-03-14,31
0,0,0,38,2025-03-15,38
0,0,0,29,2025-03-16,29
0,0,0,31,2025-03-17,31
1,0,0,42,2025-03-18,41
0,0,0,45,2025-03-19,45
1,0,0,47,2025-03-20,46
1,0,0,29,2025-03-21,28
0,0,0,29,2025-03-22,29
0,0,0,38,2025-03-23,38
1,0,0,39,2025-03-24,38
0,0,0,36,2025-03-25,36
0,0,0,36,2025-03-26,36
0,0,0,48,2025-03-27,48
2,0,0,51,2025-03-28,49
1,0,0,37,2025-03-29,36
0,0,0,36,2025-03-30,36
1,0,0,36,2025-03-31,35
2,0,0,46,2025-04-01,44
5,0,0,48,2025-04-02,43
1,0,0,33,2025-04-03,32
2,0,0,44,2025-04-04,42
0,0,0,21,2025-04-05,21
