anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,0,0,15,2025-03-06,15
4,0,0,25,2025-03-07,21
5,0,0,27,2025-03-08,22
5,0,0,20,2025-03-09,15
0,0,0,23,2025-03-10,23
0,0,0,26,2025-03-11,26
6,0,0,32,2025-03-12,26
8,0,0,37,2025-03-13,29
1,0,0,31,2025-03-14,30
14,0,0,38,2025-03-15,24
3,0,0,29,2025-03-16,26
5,0,0,31,2025-03-17,26
3,0,0,42,2025-03-18,39
6,0,0,44,2025-03-19,38
2,0,0,47,2025-03-20,45
3,0,0,29,2025-03-21,26
7,0,0,29,2025-03-22,22
6,0,0,38,2025-03-23,32
6,0,0,39,2025-03-24,33
5,0,0,36,2025-03-25,31
0,0,0,36,2025-03-26,36
0,0,0,47,2025-03-27,47
5,0,0,51,2025-03-28,46
1,0,0,37,2025-03-29,36
0,0,0,35,2025-03-30,35
0,0,0,35,2025-03-31,35
3,0,0,46,2025-04-01,43
9,0,0,48,2025-04-02,39
12,0,0,33,2025-04-03,21
6,0,0,44,2025-04-04,38
0,0,0,21,2025-04-05,21
