anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
65,0,23,1309,2025-03-06,1221
307,0,77,3158,2025-03-07,2774
214,0,55,2440,2025-03-08,2171
134,0,44,2082,2025-03-09,1904
175,0,59,2446,2025-03-10,2212
215,0,65,2909,2025-03-11,2629
211,0,65,3058,2025-03-12,2782
245,0,64,3571,2025-03-13,3262
218,0,61,2794,2025-03-14,2515
300,0,96,4099,2025-03-15,3703
195,0,50,2792,2025-03-16,2547
150,0,78,2850,2025-03-17,2622
269,0,86,3742,2025-03-18,3387
295,0,80,3832,2025-03-19,3457
326,0,90,4242,2025-03-20,3826
231,0,63,2638,2025-03-21,2344
197,0,133,5111,2025-03-22,4781
240,0,131,5696,2025-03-23,5325
315,0,153,5750,2025-03-24,5282
332,0,174,6022,2025-03-25,5516
227,0,50,3008,2025-03-26,2731
268,0,80,4018,2025-03-27,3670
409,0,104,4080,2025-03-28,3567
262,0,206,5609,2025-03-29,5141
359,0,68,3414,2025-03-30,2987
326,0,63,2803,2025-03-31,2414
407,0,117,4376,2025-04-01,3852
328,0,137,4796,2025-04-02,4331
251,0,75,3361,2025-04-03,3035
289,0,64,4139,2025-04-04,3786
371,0,136,4667,2025-04-05,4160
