anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,probe_asn
0,0,0,4,2025-03-06,4,5466
0,0,0,3,2025-03-06,3,6830
0,0,0,5,2025-03-08,5,5466
0,0,0,1,2025-03-08,1,15751
0,0,0,4,2025-03-09,4,6830
0,0,0,4,2025-03-10,4,6830
0,0,0,2,2025-03-11,2,5466
0,0,0,5,2025-03-11,5,6830
3,0,0,4,2025-03-11,1,13280
0,0,0,6,2025-03-12,6,6830
0,0,0,1,2025-03-12,1,15502
0,0,0,1,2025-03-12,1,15751
0,0,0,5,2025-03-13,5,6830
0,0,0,1,2025-03-13,1,15502
0,0,0,2,2025-03-13,2,136787
0,0,0,8,2025-03-14,8,6830
0,0,0,4,2025-03-15,4,6830
0,0,0,1,2025-03-15,1,15502
0,0,0,2,2025-03-15,2,34245
0,0,0,2,2025-03-16,2,41230
2,0,0,9,2025-03-17,7,6830
0,0,0,2,2025-03-17,2,41230
0,0,0,11,2025-03-18,11,6830
0,0,0,5,2025-03-18,5,34245
0,0,0,5,2025-03-19,5,2110
0,0,0,9,2025-03-19,9,6830
0,0,0,1,2025-03-19,1,15751
0,0,0,3,2025-03-19,3,34245
0,0,0,15,2025-03-20,15,2110
0,0,0,1,2025-03-20,1,5466
1,0,0,2,2025-03-20,1,6830
3,0,0,3,2025-03-20,0,13280
0,0,0,1,2025-03-20,1,15751
0,0,0,9,2025-03-21,9,2110
0,0,0,2,2025-03-21,2,6830
2,0,0,2,2025-03-21,0,13280
0,0,0,1,2025-03-21,1,41230
0,0,0,1,2025-03-22,1,5466
0,0,0,7,2025-03-22,7,6830
0,0,0,6,2025-03-22,6,34245
0,0,0,1,2025-03-22,1,41230
2,0,0,8,2025-03-23,6,6830
0,0,0,10,2025-03-23,10,15502
0,0,0,10,2025-03-23,10,34245
0,0,0,1,2025-03-24,1,1213
0,0,0,6,2025-03-24,6,6830
0,0,0,3,2025-03-24,3,9009
0,0,0,13,2025-03-24,13,15502
0,0,0,1,2025-03-24,1,15751
0,0,0,2,2025-03-24,2,34245
0,0,0,1,2025-03-24,1,136787
3,0,0,3,2025-03-25,0,1213
0,0,0,1,2025-03-25,1,5607
2,0,0,14,2025-03-25,12,6830
0,0,0,2,2025-03-25,2,15502
0,0,0,1,2025-03-25,1,15751
0,0,0,8,2025-03-25,8,34245
4,0,0,4,2025-03-26,0,1213
2,0,0,9,2025-03-26,7,6830
0,0,0,1,2025-03-26,1,9009
0,0,0,11,2025-03-26,11,15502
0,0,0,3,2025-03-26,3,34245
1,0,0,1,2025-03-27,0,1213
2,0,0,12,2025-03-27,10,6830
0,0,0,1,2025-03-27,1,34245
0,0,0,1,2025-03-27,1,41230
1,0,0,14,2025-03-28,13,6830
0,0,0,14,2025-03-28,14,15502
1,0,0,1,2025-03-28,0,15751
0,0,0,6,2025-03-28,6,34245
0,0,0,2,2025-03-28,2,41230
6,0,0,6,2025-03-29,0,1213
1,0,0,11,2025-03-29,10,6830
0,0,0,1,2025-03-29,1,13280
0,0,0,2,2025-03-29,2,15502
0,0,0,7,2025-03-29,7,34245
1,0,0,10,2025-03-30,9,6830
0,0,0,1,2025-03-30,1,15502
0,0,0,2,2025-03-30,2,34245
0,0,0,1,2025-03-30,1,41230
3,0,0,3,2025-03-31,0,1213
0,0,0,1,2025-03-31,1,5466
0,0,0,13,2025-03-31,13,6830
0,0,0,1,2025-03-31,1,15502
0,0,0,1,2025-03-31,1,15751
0,0,0,4,2025-03-31,4,34245
4,0,0,5,2025-04-01,1,1213
0,0,0,11,2025-04-01,11,6830
0,0,0,7,2025-04-01,7,15502
0,0,0,10,2025-04-01,10,34245
0,0,0,1,2025-04-01,1,201000
4,0,0,4,2025-04-02,0,1213
1,0,0,1,2025-04-02,0,6830
0,0,0,2,2025-04-02,2,13280
0,0,0,1,2025-04-02,1,15751
0,0,0,3,2025-04-02,3,34245
3,0,0,3,2025-04-03,0,1213
0,0,0,8,2025-04-03,8,6830
0,0,0,13,2025-04-03,13,15502
0,0,0,4,2025-04-03,4,34245
0,0,0,1,2025-04-03,1,41230
1,0,0,19,2025-04-04,18,6830
1,0,0,1,2025-04-04,0,8075
0,0,0,1,2025-04-04,1,25441
6,0,0,6,2025-04-05,0,1213
0,0,0,4,2025-04-05,4,34245
