anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,0,3,700,2025-03-06,697
0,0,0,15,2025-03-07,15
0,0,13,509,2025-03-08,496
0,0,0,200,2025-03-09,200
3,0,5,500,2025-03-10,492
2,0,9,822,2025-03-11,811
0,0,0,540,2025-03-12,540
2,0,0,560,2025-03-13,558
0,0,0,800,2025-03-14,800
0,0,0,500,2025-03-15,500
3,0,1,200,2025-03-16,196
9,0,6,1235,2025-03-17,1220
9,0,9,1476,2025-03-18,1458
24,0,13,1636,2025-03-19,1599
47,0,16,1558,2025-03-20,1495
26,0,22,1380,2025-03-21,1332
22,0,12,1436,2025-03-22,1402
92,0,45,2646,2025-03-23,2509
32,0,58,2523,2025-03-24,2433
111,0,93,4484,2025-03-25,4280
132,0,58,4408,2025-03-26,4218
27,0,11,1242,2025-03-27,1204
149,0,24,3559,2025-03-28,3386
178,0,75,4321,2025-03-29,4068
36,0,24,1464,2025-03-30,1404
48,0,36,2297,2025-03-31,2213
119,0,70,3422,2025-04-01,3233
41,0,18,1064,2025-04-02,1005
64,0,47,3014,2025-04-03,2903
99,0,48,1792,2025-04-04,1645
66,0,37,2257,2025-04-05,2154
